"Lucic, Milan",F,BOS,80,24,35,59,0.7375,30,91,240,22,3,9,0,0,5,153,0.157
"Turris, Kyle",F,OTT,82,26,32,58,0.707317073,22,39,45,33,6,8,2,1,5,215,0.121
"Filppula, Valtteri",F,TBL,75,25,33,58,0.773333333,5,20,33,33,6,14,0,0,2,131,0.191
"Nielsen, Frans",F,NYI,80,25,33,58,0.725,-11,8,39,47,5,15,2,1,0,167,0.15
"Backes, David",F,STL,74,27,30,57,0.77027027,14,119,273,56,10,6,0,0,5,165,0.164
"Jokinen, Jussi",F,PIT,81,21,36,57,0.703703704,12,18,34,31,6,15,0,0,4,172,0.122
"Stepan, Derek",F,NYR,82,17,40,57,0.695121951,12,18,30,46,5,13,0,3,2,199,0.085
"Perron, David",F,EDM,78,28,29,57,0.730769231,-16,90,116,20,8,5,1,0,2,220,0.127
"Schwartz, Jaden",F,STL,80,25,31,56,0.7,28,27,54,32,5,5,3,0,1,188,0.133
"Parise, Zach",F,MIN,67,29,27,56,0.835820896,10,30,70,45,14,6,1,0,5,245,0.118
"Nugent-Hopkins, Ryan",F,EDM,80,19,37,56,0.7,-12,26,72,35,6,14,0,0,4,178,0.107
"Byfuglien, Dustin",D,WPG,78,20,36,56,0.717948718,-20,86,213,80,8,18,0,0,1,256,0.078
"Weber, Shea",D,NAS,79,23,33,56,0.70886076,-2,52,169,173,12,14,0,0,4,195,0.118
"MacArthur, Clarke",F,OTT,79,24,31,55,0.696202532,12,78,108,20,8,7,1,2,5,159,0.151
"Hedman, Victor",D,TBL,75,13,42,55,0.733333333,5,53,86,101,3,11,0,6,2,170,0.076
"Hudler, Jiri",F,CGY,75,17,37,54,0.72,4,16,35,15,2,11,0,0,1,109,0.156
"Couture, Logan",F,SJS,65,23,31,54,0.830769231,21,20,16,68,4,9,2,2,6,233,0.099
"Skinner, Jeff",F,CAR,71,33,21,54,0.76056338,-14,22,22,8,11,9,0,0,6,274,0.12
"Koivu, Mikko",F,MIN,65,11,43,54,0.830769231,0,24,33,32,2,16,0,2,4,147,0.075
"Ladd, Andrew",F,WPG,78,23,31,54,0.692307692,8,57,154,42,4,8,0,2,2,189,0.122
"Elias, Patrik",F,NJD,65,18,35,53,0.815384615,-4,30,26,19,4,13,2,4,1,116,0.155
"Hornqvist, Patric",F,NAS,76,22,31,53,0.697368421,1,28,77,34,7,10,0,0,6,248,0.089
"Marchand, Brad",F,BOS,82,25,28,53,0.646341463,36,64,73,23,1,1,5,0,5,149,0.168
"Subban, P.K.",D,MTL,82,10,43,53,0.646341463,-4,81,135,125,4,19,0,0,1,204,0.049
"Yandle, Keith",D,ARI,82,8,45,53,0.646341463,-23,63,22,105,3,28,0,0,2,241,0.033
"Desharnais, David",F,MTL,79,16,36,52,0.658227848,11,24,23,35,3,12,0,0,2,96,0.167
"Hartnell, Scott",F,PHI,78,20,32,52,0.666666667,11,103,155,39,9,11,0,0,3,207,0.097
"Smith, Craig",F,NAS,79,24,28,52,0.658227848,16,22,54,21,7,3,0,0,4,215,0.112
"Legwand, David",F,NAS,83,14,37,51,0.614457831,-17,61,49,38,6,13,0,0,4,146,0.096
"Moulson, Matt",F,NYI,75,23,28,51,0.68,2,34,46,43,9,10,0,0,5,176,0.131
"Smith, Reilly",F,BOS,82,20,31,51,0.62195122,28,14,63,14,6,8,0,0,3,146,0.137
"Boedker, Mikkel",F,ARI,82,19,32,51,0.62195122,-9,20,105,16,5,11,0,0,1,166,0.114
"Vrbata, Radim",F,ARI,80,20,31,51,0.6375,-6,22,68,27,10,11,0,0,2,263,0.076
"Richards, Brad",F,NYR,82,20,31,51,0.62195122,-8,18,24,43,5,14,0,0,2,259,0.077
"Wisniewski, James",D,CLB,75,7,44,51,0.68,0,61,101,73,3,25,0,0,1,166,0.042
"Pietrangelo, Alex",D,STL,81,8,43,51,0.62962963,20,32,24,164,2,16,0,1,1,164,0.049
"Carter, Jeff",F,LAK,72,27,23,50,0.694444444,8,44,68,29,8,6,1,0,5,256,0.105
"Kadri, Nazem",F,TOR,78,20,30,50,0.641025641,-11,67,141,34,7,11,0,0,2,148,0.135
"Sedin, Henrik",F,VAN,70,11,39,50,0.714285714,3,42,43,19,4,14,0,0,1,97,0.113
"Dubinsky, Brandon",F,CLB,76,16,34,50,0.657894737,5,98,234,39,4,6,2,2,2,189,0.085
"Johnson, Tyler",F,TBL,82,24,26,50,0.609756098,23,26,55,37,5,5,5,1,4,181,0.133
"Alfredsson, Daniel",F,DET,68,18,31,49,0.720588235,2,10,59,25,4,14,0,0,4,151,0.119
"Bozak, Tyler",F,TOR,58,19,30,49,0.844827586,2,14,62,42,5,3,1,0,1,90,0.211
"Ward, Joel",F,WAS,82,24,25,49,0.597560976,7,32,54,67,6,4,2,0,4,133,0.18
"Bonino, Nick",F,ANA,77,22,27,49,0.636363636,14,22,28,68,7,13,0,0,2,159,0.138
"Fisher, Mike",F,NAS,75,20,29,49,0.653333333,-4,60,144,73,4,7,0,0,4,177,0.113
"Kronwall, Niklas",D,DET,79,8,41,49,0.620253165,0,44,93,154,5,20,0,1,0,110,0.073
"Zajac, Travis",F,NJD,80,18,30,48,0.6,3,28,53,25,3,12,0,0,3,165,0.109
"Soderberg, Carl",F,BOS,73,16,32,48,0.657534247,4,36,52,36,5,11,0,0,3,129,0.124
"Nyquist, Gustav",F,DET,57,28,20,48,0.842105263,16,10,18,14,6,3,0,0,6,153,0.183
"Zetterberg, Henrik",F,DET,45,16,32,48,1.066666667,19,20,23,15,3,14,0,0,1,151,0.106
"Ryan, Bobby",F,OTT,70,23,25,48,0.685714286,7,45,104,30,6,3,0,0,2,190,0.121
"Burns, Brent",D,SJS,69,22,26,48,0.695652174,26,34,145,24,2,9,0,0,3,245,0.09
"Doan, Shane",F,ARI,69,23,24,47,0.68115942,-7,34,135,22,10,9,0,0,4,167,0.138
"Sedin, Daniel",F,VAN,73,16,31,47,0.643835616,0,38,37,21,5,13,0,0,4,224,0.071
"Ribeiro, Mike",F,ARI,80,16,31,47,0.5875,-13,52,72,18,4,11,0,0,3,110,0.145
"Saad, Brandon",F,CHI,78,19,28,47,0.602564103,20,20,48,20,3,6,0,2,2,159,0.12
"Giordano, Mark",D,CGY,64,14,33,47,0.734375,12,63,73,103,7,13,0,3,2,180,0.078
"Niskanen, Matt",D,PIT,81,10,36,46,0.567901235,33,51,124,76,3,12,0,0,6,162,0.062
"Cammalleri, Michael",F,CGY,63,26,19,45,0.714285714,-13,26,26,29,6,8,0,0,8,191,0.136
"Vermette, Antoine",F,ARI,82,24,21,45,0.548780488,0,44,90,71,7,6,3,0,4,160,0.15
"Brassard, Derick",F,NYR,81,18,27,45,0.555555556,2,46,124,19,7,11,0,0,4,159,0.113
"Raymond, Mason",F,TOR,82,19,26,45,0.548780488,-6,22,38,24,6,5,1,1,4,178,0.107
"Shattenkirk, Kevin",D,STL,81,10,35,45,0.555555556,1,38,72,101,7,19,0,1,5,188,0.053
"Johansson, Marcus",F,WAS,80,8,36,44,0.55,-21,4,49,27,6,15,0,0,1,107,0.075
"Hodgson, Cody",F,BUF,72,20,24,44,0.611111111,-26,20,47,22,9,10,0,0,0,182,0.11
"Lupul, Joffrey",F,TOR,69,22,22,44,0.637681159,-15,44,118,35,6,6,0,0,1,191,0.115
"Sekera, Andrej",D,CAR,74,11,33,44,0.594594595,4,20,54,127,4,11,1,0,1,142,0.077
"Ekman-Larsson, Oliver",D,ARI,80,15,29,44,0.55,-4,50,134,80,8,14,0,0,6,199,0.075
"Streit, Mark",D,PHI,82,10,34,44,0.536585366,3,44,41,108,4,11,0,0,2,121,0.083
"Hemsky, Ales",F,EDM,75,13,30,43,0.573333333,-15,24,37,33,2,11,0,0,1,138,0.094
"Ennis, Tyler",F,BUF,80,21,22,43,0.5375,-25,42,89,53,6,10,0,0,0,210,0.1
"Plekanec, Tomas",F,MTL,81,20,23,43,0.530864198,11,38,44,45,3,7,3,0,5,199,0.101
"Henrique, Adam",F,NJD,77,25,18,43,0.558441558,3,20,73,50,7,5,3,2,4,137,0.182
"Kesler, Ryan",F,VAN,77,25,18,43,0.558441558,-15,81,133,68,9,7,1,0,5,239,0.105
"Williams, Justin",F,LAK,82,19,24,43,0.524390244,14,48,44,21,4,3,0,0,1,239,0.08
"Tarasenko, Vladimir",F,STL,64,21,22,43,0.671875,20,16,22,9,5,2,0,0,3,136,0.154
"Jokinen, Olli",F,WPG,82,18,25,43,0.524390244,-8,62,120,45,2,6,0,0,1,171,0.105
"Perreault, Mathieu",F,ANA,69,18,25,43,0.623188406,13,36,73,15,4,5,0,0,1,120,0.15
"Brouwer, Troy",F,WAS,82,25,18,43,0.524390244,-6,92,210,39,12,9,0,0,3,161,0.155
"Suter, Ryan",D,MIN,82,8,35,43,0.524390244,15,34,72,132,3,14,0,1,0,150,0.053
"McDonagh, Ryan",D,NYR,77,14,29,43,0.558441558,11,36,88,131,2,11,3,1,4,177,0.079
"Markov, Andrei",D,MTL,81,7,36,43,0.530864198,12,34,49,180,2,19,1,0,1,131,0.053
"Frolik, Michael",F,WPG,81,15,27,42,0.518518519,8,12,41,51,1,1,0,1,2,189,0.079
"Purcell, Teddy",F,TBL,81,12,30,42,0.518518519,-3,14,13,12,3,14,0,0,4,157,0.076
"Chimera, Jason",F,WAS,82,15,27,42,0.512195122,4,36,140,30,1,4,0,1,0,167,0.09
"Cogliano, Andrew",F,ANA,82,21,21,42,0.512195122,13,26,94,36,0,0,3,2,5,157,0.134
"Semin, Alexander",F,CAR,65,22,20,42,0.646153846,1,42,22,30,6,6,1,0,3,210,0.105
"Goligoski, Alex",D,DAL,81,6,36,42,0.518518519,9,28,94,154,3,12,0,0,0,141,0.043
