"Kane, Patrick",F,CHI,82,46,60,106,1.292682927,17,30,37,21,17,20,0,0,9,287,0.16
"Benn, Jamie",F,DAL,82,41,48,89,1.085365854,7,64,156,55,17,13,2,3,5,247,0.166
"Crosby, Sidney",F,PIT,80,36,49,85,1.0625,19,42,90,35,10,14,0,0,9,249,0.145
"Thornton, Joe",F,SJS,82,19,63,82,1,25,54,48,30,8,21,0,0,6,120,0.158
"Karlsson, Erik",D,OTT,82,16,66,82,1,-2,50,84,175,1,25,0,0,3,248,0.065
"Gaudreau, Johnny",F,CGY,79,30,48,78,0.987341772,4,20,26,10,6,15,0,0,6,217,0.138
"Pavelski, Joe",F,SJS,82,38,40,78,0.951219512,25,30,147,67,12,16,0,0,11,224,0.17
"Wheeler, Blake",F,WPG,82,26,52,78,0.951219512,8,49,92,57,3,14,2,2,5,256,0.102
"Panarin, Artemi",F,CHI,80,30,47,77,0.9625,8,32,46,14,8,16,0,0,7,187,0.16
"Kuznetsov, Evgeny",F,WAS,82,20,57,77,0.93902439,27,32,73,28,5,13,0,0,4,193,0.104
"Burns, Brent",D,SJS,82,27,48,75,0.914634146,-5,53,101,145,7,23,1,1,4,355,0.076
"Tarasenko, Vladimir",F,STL,80,40,34,74,0.925,7,37,32,28,12,12,0,0,7,293,0.137
"Kopitar, Anze",F,LAK,81,25,49,74,0.913580247,34,16,78,65,5,13,1,2,8,177,0.141
"Seguin, Tyler",F,DAL,72,33,40,73,1.013888889,2,16,80,27,7,17,0,0,6,278,0.119
"Ovechkin, Alex",F,WAS,79,50,21,71,0.898734177,21,53,225,34,19,5,0,0,8,398,0.126
"Tavares, John",F,NYI,78,33,37,70,0.897435897,6,38,51,29,7,12,0,0,5,250,0.132
"Backstrom, Nicklas",F,WAS,75,20,50,70,0.933333333,17,36,51,50,3,27,0,0,4,129,0.155
"Bergeron, Patrice",F,BOS,80,32,36,68,0.85,12,49,77,56,12,13,1,2,6,282,0.113
"Giroux, Claude",F,PHI,78,22,45,67,0.858974359,-8,53,83,36,6,21,1,1,5,241,0.091
"Letang, Kris",D,PIT,71,16,51,67,0.943661972,9,66,135,123,5,22,0,3,2,218,0.073
"Kucherov, Nikita",F,TBL,77,30,36,66,0.857142857,9,30,61,28,9,16,0,0,4,209,0.144
"Jagr, Jaromir",F,FLA,79,27,39,66,0.835443038,23,48,31,16,5,6,0,0,4,143,0.189
"Hall, Taylor",F,EDM,82,26,39,65,0.792682927,-4,54,82,49,4,8,0,0,6,286,0.091
"Forsberg, Filip",F,NAS,82,33,31,64,0.780487805,1,47,114,41,8,15,1,0,3,247,0.134
"Stamkos, Steven",F,TBL,77,36,28,64,0.831168831,3,38,109,35,14,9,1,2,8,216,0.167
"Pacioretty, Max",F,MTL,82,30,34,64,0.780487805,-10,34,102,37,8,9,1,0,6,303,0.099
"Okposo, Kyle",F,NYI,79,22,42,64,0.810126582,-4,51,90,39,7,16,0,0,4,202,0.109
"Getzlaf, Ryan",F,ANA,77,13,50,63,0.818181818,14,55,108,61,6,16,0,1,5,178,0.073
"Monahan, Sean",F,CGY,81,27,36,63,0.777777778,-6,18,38,36,7,13,0,0,5,197,0.137
"Spezza, Jason",F,DAL,75,33,30,63,0.84,4,22,9,20,9,15,0,0,7,203,0.163
"Krejci, David",F,BOS,72,17,46,63,0.875,4,32,43,57,4,14,0,3,3,143,0.119
"Eriksson, Loui",F,BOS,82,30,33,63,0.768292683,13,12,22,34,10,7,2,1,5,184,0.163
"Carter, Jeff",F,LAK,77,24,38,62,0.805194805,18,20,89,37,4,8,1,1,6,242,0.099
"Perry, Corey",F,ANA,82,34,28,62,0.756097561,2,68,104,36,12,12,0,0,6,215,0.158
"Sedin, Daniel",F,VAN,82,28,33,61,0.743902439,7,36,20,19,8,11,0,1,6,258,0.109
"Marchand, Brad",F,BOS,77,37,24,61,0.792207792,21,90,65,35,6,2,4,2,6,250,0.148
"Scheifele, Mark",F,WPG,71,29,32,61,0.85915493,16,48,53,36,7,4,0,0,3,194,0.149
"Stone, Mark",F,OTT,75,23,38,61,0.813333333,-4,38,55,54,5,10,1,2,1,151,0.152
"Zuccarello, Mats",F,NYR,81,26,35,61,0.75308642,2,34,88,69,7,11,0,0,4,166,0.157
"Josi, Roman",D,NAS,81,14,47,61,0.75308642,-3,43,59,186,6,18,1,1,3,198,0.071
"Simmonds, Wayne",F,PHI,81,32,28,60,0.740740741,-7,147,192,44,13,8,0,0,5,229,0.14
"Jokinen, Jussi",F,FLA,81,18,42,60,0.740740741,25,42,43,50,5,7,1,1,1,153,0.118
"O'Reilly, Ryan",F,BUF,71,21,39,60,0.845070423,-16,8,17,43,8,14,1,0,2,157,0.134
"Kessel, Phil",F,PIT,82,26,33,59,0.719512195,9,18,9,13,4,13,0,0,5,273,0.095
"Huberdeau, Jonathan",F,FLA,76,20,39,59,0.77631579,17,43,53,36,4,9,1,0,2,174,0.115
"Barkov, Aleksander",F,FLA,66,28,31,59,0.893939394,18,8,43,40,9,7,1,1,8,170,0.165
"Schenn, Brayden",F,PHI,80,26,33,59,0.7375,3,33,187,30,11,11,0,0,5,178,0.146
"Hoffman, Mike",F,OTT,78,29,30,59,0.756410256,1,18,22,29,9,4,0,0,3,242,0.12
"Duchene, Matt",F,COL,76,30,29,59,0.77631579,-8,24,41,37,8,7,0,0,6,200,0.15
"Neal, James",F,NAS,82,31,27,58,0.707317073,27,65,114,30,4,10,0,0,3,268,0.116
"Brassard, Derick",F,NYR,80,27,31,58,0.725,12,30,103,23,8,14,0,0,5,183,0.148
"Toews, Jonathan",F,CHI,80,28,30,58,0.725,16,62,81,38,6,3,4,3,8,179,0.156
"Toffoli, Tyler",F,LAK,82,31,27,58,0.707317073,35,20,70,19,9,2,1,0,4,214,0.145
"Malkin, Evgeni",F,PIT,58,27,31,58,1,1,65,27,19,11,16,0,0,6,162,0.167
"Klingberg, John",D,DAL,76,10,48,58,0.763157895,22,30,44,68,2,20,0,0,4,171,0.058
"Palmieri, Kyle",F,NJD,82,30,27,57,0.695121951,3,39,129,50,11,12,0,0,4,222,0.135
"Eichel, Jack",F,BUF,81,24,32,56,0.691358025,-16,22,43,25,8,13,0,0,5,238,0.101
"Ryan, Bobby",F,OTT,81,22,34,56,0.691358025,-9,28,106,24,6,10,0,0,2,183,0.12
"Galchenyuk, Alex",F,MTL,82,30,26,56,0.682926829,-8,20,62,36,9,7,0,0,4,201,0.149
"Koivu, Mikko",F,MIN,82,17,39,56,0.682926829,6,40,38,57,10,10,1,1,2,140,0.121
"Giordano, Mark",D,CGY,82,21,35,56,0.682926829,-5,54,65,193,9,10,1,2,2,212,0.099
"Voracek, Jakub",F,PHI,74,11,44,55,0.743243243,-5,38,51,34,1,22,0,0,2,213,0.052
"Sedin, Henrik",F,VAN,74,11,44,55,0.743243243,0,24,9,19,5,15,1,0,0,99,0.111
"Sharp, Patrick",F,DAL,76,20,35,55,0.723684211,-3,27,76,24,7,17,0,0,6,226,0.088
"Lucic, Milan",F,LAK,81,20,35,55,0.679012346,26,79,244,22,2,6,0,0,5,124,0.161
"Ekman-Larsson, Oliver",D,ARI,75,21,34,55,0.733333333,-6,96,154,67,12,15,0,0,8,228,0.092
