"McDavid, Connor",F,EDM,82,30,70,100,1.219512195,27,26,34,29,3,24,1,1,6,251,0.12
"Crosby, Sidney",F,PIT,75,44,45,89,1.186666667,17,24,80,27,14,11,0,0,5,255,0.173
"Kane, Patrick",F,CHI,82,34,55,89,1.085365854,11,32,28,15,7,15,0,0,5,292,0.116
"Backstrom, Nicklas",F,WAS,82,23,63,86,1.048780488,17,38,45,33,8,27,0,0,5,162,0.142
"Kucherov, Nikita",F,TBL,74,40,45,85,1.148648649,13,38,30,20,17,15,0,0,7,246,0.163
"Marchand, Brad",F,BOS,80,39,46,85,1.0625,18,81,51,35,9,15,3,2,8,226,0.173
"Scheifele, Mark",F,WPG,79,32,50,82,1.037974684,18,38,49,34,7,8,0,2,5,160,0.2
"Draisaitl, Leon",F,EDM,82,29,48,77,0.93902439,7,20,41,36,10,17,0,0,5,172,0.169
"Burns, Brent",D,SJS,82,29,47,76,0.926829268,19,40,69,142,8,17,0,1,6,320,0.091
"Tarasenko, Vladimir",F,STL,82,39,36,75,0.914634146,-1,12,50,31,9,13,0,0,8,286,0.136
"Panarin, Artemi",F,CHI,82,31,43,74,0.902439024,18,21,23,14,8,8,0,0,5,211,0.147
"Wheeler, Blake",F,WPG,82,26,48,74,0.902439024,6,47,100,51,5,16,2,1,4,259,0.1
"Getzlaf, Ryan",F,ANA,74,15,58,73,0.986486487,7,49,99,88,6,14,2,1,3,138,0.109
"Malkin, Evgeni",F,PIT,62,33,39,72,1.161290323,18,77,40,25,11,12,0,0,6,191,0.173
"Hedman, Victor",D,TBL,79,16,56,72,0.911392405,3,47,93,132,4,29,0,0,5,166,0.096
"Seguin, Tyler",F,DAL,82,26,46,72,0.878048781,-15,22,60,26,11,18,0,0,4,301,0.086
"Karlsson, Erik",D,OTT,77,17,54,71,0.922077922,10,28,67,201,4,23,0,2,5,218,0.078
"Pastrnak, David",F,BOS,75,34,36,70,0.933333333,11,34,72,32,10,14,0,0,6,262,0.13
"Kessel, Phil",F,PIT,82,23,47,70,0.853658537,3,20,12,15,8,22,0,0,4,229,0.1
"Benn, Jamie",F,DAL,77,26,43,69,0.896103896,-9,66,89,47,12,14,1,0,4,201,0.129
"Granlund, Mikael",F,MIN,81,26,43,69,0.851851852,23,12,50,50,7,13,3,1,4,177,0.147
"Ovechkin, Alex",F,WAS,82,33,36,69,0.841463415,6,50,216,29,17,9,0,0,7,313,0.105
"Matthews, Auston",F,TOR,82,40,29,69,0.841463415,2,14,21,61,8,13,0,0,8,279,0.143
"Pavelski, Joe",F,SJS,81,29,39,68,0.839506173,11,34,130,73,7,15,1,0,7,233,0.124
"Zetterberg, Henrik",F,DET,82,17,51,68,0.829268293,15,22,58,30,2,11,0,0,0,195,0.087
"Pacioretty, Max",F,MTL,81,35,32,67,0.827160494,15,38,63,35,8,5,1,1,7,268,0.131
"Tavares, John",F,NYI,77,28,38,66,0.857142857,4,38,42,20,7,11,1,1,3,260,0.108
"Carter, Jeff",F,LAK,82,32,34,66,0.804878049,2,41,86,37,10,12,1,0,9,250,0.128
"Staal, Eric",F,MIN,82,28,37,65,0.792682927,17,34,42,39,4,12,1,1,8,211,0.133
"Laine, Patrik",F,WPG,73,36,28,64,0.876712329,7,26,80,33,9,5,0,0,5,204,0.176
"Ehlers, Nikolaj",F,WPG,82,25,39,64,0.780487805,1,38,43,28,5,7,0,0,4,204,0.123
"Skinner, Jeff",F,CAR,79,37,26,63,0.797468354,-3,28,33,28,7,8,0,0,4,281,0.132
"Atkinson, Cam",F,CLB,82,35,27,62,0.756097561,13,22,33,34,10,11,3,0,9,240,0.146
"Van Riemsdyk, James",F,TOR,82,29,33,62,0.756097561,-2,37,62,29,6,12,0,0,5,238,0.122
"Gaudreau, Johnny",F,CGY,72,18,43,61,0.847222222,-7,4,9,14,4,12,0,0,3,182,0.099
"Hoffman, Mike",F,OTT,74,26,35,61,0.824324324,17,51,41,21,13,13,0,0,8,224,0.116
"Marner, Mitchell",F,TOR,77,19,42,61,0.792207792,0,38,41,39,4,17,0,0,5,176,0.108
"Arvidsson, Viktor",F,NAS,80,31,30,61,0.7625,16,28,23,45,4,5,5,2,6,246,0.126
"Nylander, William",F,TOR,81,22,39,61,0.75308642,-3,32,25,16,9,16,0,0,2,205,0.107
"Kadri, Nazem",F,TOR,82,32,29,61,0.743902439,-7,95,124,31,12,5,0,0,6,236,0.136
"Johansen, Ryan",F,NAS,82,14,47,61,0.743902439,1,60,77,28,4,19,1,0,3,154,0.091
"Voracek, Jakub",F,PHI,82,20,41,61,0.743902439,-24,56,30,22,5,18,0,0,3,253,0.079
"Wennberg, Alexander",F,CLB,80,13,46,59,0.7375,9,21,58,56,2,20,0,0,5,109,0.119
"Zuccarello, Mats",F,NYR,80,15,44,59,0.7375,15,26,85,52,5,9,0,0,3,189,0.079
"Kuznetsov, Evgeny",F,WAS,82,19,40,59,0.719512195,18,46,57,18,3,11,0,0,4,170,0.112
"Toews, Jonathan",F,CHI,72,21,37,58,0.805555556,7,35,43,32,6,11,0,0,5,199,0.106
"Koivu, Mikko",F,MIN,80,18,40,58,0.725,27,34,32,65,2,18,0,2,4,139,0.129
"Monahan, Sean",F,CGY,82,27,31,58,0.707317073,-1,20,34,25,8,8,1,0,4,199,0.136
"Giroux, Claude",F,PHI,82,14,44,58,0.707317073,-15,38,68,28,5,26,0,1,3,199,0.07
